Train Epoch: 186, Loss: 0.733477, Test Average loss: 0.6630, Accuracy: 79.95%  
Train Epoch: 187, Loss: 0.693015, Test Average loss: 0.6973, Accuracy: 79.5%  
Train Epoch: 188, Loss: 0.651379, Test Average loss: 0.7858, Accuracy: 79.35%  
Train Epoch: 189, Loss: 0.739742, Test Average loss: 0.7737, Accuracy: 78.75%  
Train Epoch: 190, Loss: 0.692183, Test Average loss: 0.6841, Accuracy: 79.95%  
Train Epoch: 191, Loss: 0.742343, Test Average loss: 0.5491, Accuracy: 79.45%  
Train Epoch: 192, Loss: 0.740023, Test Average loss: 0.6581, Accuracy: 78.2%  
Train Epoch: 193, Loss: 0.666884, Test Average loss: 0.6369, Accuracy: 79.0%  
Train Epoch: 194, Loss: 0.702057, Test Average loss: 0.6900, Accuracy: 80.25%  
Train Epoch: 195, Loss: 0.637462, Test Average loss: 0.6328, Accuracy: 80.05%  
Train Epoch: 196, Loss: 0.730197, Test Average loss: 0.6565, Accuracy: 80.0%  
Train Epoch: 197, Loss: 0.616075, Test Average loss: 0.6506, Accuracy: 79.3%  
Train Epoch: 198, Loss: 0.675439, Test Average loss: 0.5977, Accuracy: 79.7%  
Train Epoch: 199, Loss: 0.675824, Test Average loss: 0.8052, Accuracy: 79.85%  
Train Epoch: 200, Loss: 0.729614, Test Average loss: 0.6813, Accuracy: 79.95%  
Train Epoch: 201, Loss: 0.684933, Test Average loss: 0.6799, Accuracy: 79.75%  
Train Epoch: 202, Loss: 0.672267, Test Average loss: 0.6432, Accuracy: 79.7%  
Train Epoch: 203, Loss: 0.650314, Test Average loss: 0.7271, Accuracy: 80.15%  
Train Epoch: 204, Loss: 0.683291, Test Average loss: 0.5181, Accuracy: 80.3%  
Train Epoch: 205, Loss: 0.722077, Test Average loss: 0.8252, Accuracy: 80.1%  
Train Epoch: 206, Loss: 0.686996, Test Average loss: 0.6907, Accuracy: 81.45%  
Train Epoch: 207, Loss: 0.610101, Test Average loss: 0.6260, Accuracy: 80.6%  
Train Epoch: 208, Loss: 0.611983, Test Average loss: 0.7193, Accuracy: 79.4%  
Train Epoch: 209, Loss: 0.558434, Test Average loss: 0.5898, Accuracy: 78.75%  
Train Epoch: 210, Loss: 0.671284, Test Average loss: 0.7517, Accuracy: 80.5%  
Train Epoch: 211, Loss: 0.594834, Test Average loss: 0.5206, Accuracy: 79.05%  
Train Epoch: 212, Loss: 0.615738, Test Average loss: 0.5647, Accuracy: 81.0%  
Train Epoch: 213, Loss: 0.586670, Test Average loss: 0.6881, Accuracy: 80.35%  
Train Epoch: 214, Loss: 0.572325, Test Average loss: 0.7222, Accuracy: 80.55%  
Train Epoch: 215, Loss: 0.597930, Test Average loss: 0.6410, Accuracy: 80.2%  
Train Epoch: 216, Loss: 0.666603, Test Average loss: 0.7517, Accuracy: 81.55%  
Train Epoch: 217, Loss: 0.608889, Test Average loss: 0.6098, Accuracy: 80.7%  
Train Epoch: 218, Loss: 0.614919, Test Average loss: 0.7949, Accuracy: 79.85%  
Train Epoch: 219, Loss: 0.630468, Test Average loss: 0.5894, Accuracy: 80.55%  
Train Epoch: 220, Loss: 0.594578, Test Average loss: 0.6895, Accuracy: 81.6%  
Train Epoch: 221, Loss: 0.720575, Test Average loss: 0.7108, Accuracy: 80.5%  
Train Epoch: 222, Loss: 0.598487, Test Average loss: 0.7545, Accuracy: 80.5%  
Train Epoch: 223, Loss: 0.518601, Test Average loss: 0.6621, Accuracy: 80.85%  
Train Epoch: 224, Loss: 0.643116, Test Average loss: 0.7289, Accuracy: 81.55%  
Train Epoch: 225, Loss: 0.636243, Test Average loss: 0.6936, Accuracy: 81.0%  
Train Epoch: 226, Loss: 0.604946, Test Average loss: 0.7451, Accuracy: 81.4%  
Train Epoch: 227, Loss: 0.550395, Test Average loss: 0.6004, Accuracy: 80.8%  
Train Epoch: 228, Loss: 0.604976, Test Average loss: 0.6688, Accuracy: 81.4%  
Train Epoch: 229, Loss: 0.663043, Test Average loss: 0.6359, Accuracy: 79.1%  
Train Epoch: 230, Loss: 0.511058, Test Average loss: 0.6622, Accuracy: 80.75%  
Train Epoch: 231, Loss: 0.594394, Test Average loss: 0.6462, Accuracy: 80.3%  
Train Epoch: 232, Loss: 0.674247, Test Average loss: 0.6411, Accuracy: 82.25%  
Train Epoch: 233, Loss: 0.730432, Test Average loss: 0.7234, Accuracy: 80.45%  
Train Epoch: 234, Loss: 0.616978, Test Average loss: 0.7747, Accuracy: 80.3%  
Train Epoch: 235, Loss: 0.536331, Test Average loss: 0.5747, Accuracy: 81.05%  
Train Epoch: 236, Loss: 0.641643, Test Average loss: 0.6750, Accuracy: 82.05%  
Train Epoch: 237, Loss: 0.520323, Test Average loss: 0.6673, Accuracy: 81.15%  
Train Epoch: 238, Loss: 0.551128, Test Average loss: 0.6300, Accuracy: 80.95%  
Train Epoch: 239, Loss: 0.631562, Test Average loss: 0.8284, Accuracy: 81.0%  
Train Epoch: 240, Loss: 0.574395, Test Average loss: 0.6300, Accuracy: 80.4%  
Train Epoch: 241, Loss: 0.499671, Test Average loss: 0.6902, Accuracy: 82.15%  
Train Epoch: 242, Loss: 0.601025, Test Average loss: 0.5965, Accuracy: 81.35%  
Train Epoch: 243, Loss: 0.588588, Test Average loss: 0.6586, Accuracy: 81.6%  
Train Epoch: 244, Loss: 0.595974, Test Average loss: 0.6353, Accuracy: 81.65%  
Train Epoch: 245, Loss: 0.613262, Test Average loss: 0.5976, Accuracy: 81.25%  
Train Epoch: 246, Loss: 0.511123, Test Average loss: 0.5311, Accuracy: 80.65%  
Train Epoch: 247, Loss: 0.593575, Test Average loss: 0.6615, Accuracy: 80.25%  
Train Epoch: 248, Loss: 0.624112, Test Average loss: 0.7196, Accuracy: 80.95%  
Train Epoch: 249, Loss: 0.654691, Test Average loss: 0.6607, Accuracy: 82.05%  
Train Epoch: 250, Loss: 0.649354, Test Average loss: 0.8254, Accuracy: 81.25%  
Train Epoch: 251, Loss: 0.627253, Test Average loss: 0.5318, Accuracy: 82.1%  
Train Epoch: 252, Loss: 0.611995, Test Average loss: 0.4998, Accuracy: 81.6%  
Train Epoch: 253, Loss: 0.675767, Test Average loss: 0.6029, Accuracy: 81.85%  
Train Epoch: 254, Loss: 0.490269, Test Average loss: 0.6096, Accuracy: 82.75%  
Train Epoch: 255, Loss: 0.509750, Test Average loss: 0.6287, Accuracy: 82.95%  
Train Epoch: 256, Loss: 0.591918, Test Average loss: 0.6996, Accuracy: 83.35%  
Train Epoch: 257, Loss: 0.522553, Test Average loss: 0.7793, Accuracy: 81.8%  
Train Epoch: 258, Loss: 0.568608, Test Average loss: 0.6059, Accuracy: 83.05%  
Train Epoch: 259, Loss: 0.580805, Test Average loss: 0.5583, Accuracy: 82.0%  
Train Epoch: 260, Loss: 0.479958, Test Average loss: 0.7702, Accuracy: 79.95%  
Train Epoch: 261, Loss: 0.662305, Test Average loss: 0.6827, Accuracy: 77.35%  
Train Epoch: 262, Loss: 0.612489, Test Average loss: 0.6361, Accuracy: 82.25%  
Train Epoch: 263, Loss: 0.601802, Test Average loss: 0.7039, Accuracy: 83.1%  
Train Epoch: 264, Loss: 0.541447, Test Average loss: 0.6198, Accuracy: 82.95%  
Train Epoch: 265, Loss: 0.566942, Test Average loss: 0.6788, Accuracy: 82.35%  
Train Epoch: 266, Loss: 0.591884, Test Average loss: 0.7473, Accuracy: 82.25%  
Train Epoch: 267, Loss: 0.583826, Test Average loss: 0.6451, Accuracy: 82.45%  
Train Epoch: 268, Loss: 0.554004, Test Average loss: 0.6943, Accuracy: 82.3%  
Train Epoch: 269, Loss: 0.583556, Test Average loss: 0.6584, Accuracy: 81.55%  
Train Epoch: 270, Loss: 0.578194, Test Average loss: 0.4822, Accuracy: 82.75%  
Train Epoch: 271, Loss: 0.576320, Test Average loss: 0.6364, Accuracy: 81.4%  
Train Epoch: 272, Loss: 0.606936, Test Average loss: 0.6863, Accuracy: 82.25%  
Train Epoch: 273, Loss: 0.633190, Test Average loss: 0.6055, Accuracy: 82.65%  
Train Epoch: 274, Loss: 0.551021, Test Average loss: 0.7302, Accuracy: 82.35%  
Train Epoch: 275, Loss: 0.488261, Test Average loss: 0.5985, Accuracy: 82.15%  
Train Epoch: 276, Loss: 0.596349, Test Average loss: 0.6837, Accuracy: 82.5%  
Train Epoch: 277, Loss: 0.553615, Test Average loss: 0.4738, Accuracy: 82.8%  
Train Epoch: 278, Loss: 0.480535, Test Average loss: 0.6547, Accuracy: 82.7%  
Train Epoch: 279, Loss: 0.585169, Test Average loss: 0.6271, Accuracy: 82.0%  
Train Epoch: 280, Loss: 0.570655, Test Average loss: 0.6166, Accuracy: 81.35%  
Train Epoch: 281, Loss: 0.532030, Test Average loss: 0.5521, Accuracy: 83.15%  
Train Epoch: 282, Loss: 0.437686, Test Average loss: 0.6918, Accuracy: 82.4%  
Train Epoch: 283, Loss: 0.494603, Test Average loss: 0.6971, Accuracy: 81.65%  
Train Epoch: 284, Loss: 0.593528, Test Average loss: 0.6032, Accuracy: 82.95%  
Train Epoch: 285, Loss: 0.568878, Test Average loss: 0.7165, Accuracy: 82.95%  
Train Epoch: 286, Loss: 0.537342, Test Average loss: 0.6645, Accuracy: 83.35%  
Train Epoch: 287, Loss: 0.518186, Test Average loss: 0.5029, Accuracy: 83.5%  
Train Epoch: 288, Loss: 0.564979, Test Average loss: 0.6480, Accuracy: 83.4%  
Train Epoch: 289, Loss: 0.583714, Test Average loss: 0.7420, Accuracy: 82.85%  
Train Epoch: 290, Loss: 0.561670, Test Average loss: 0.5673, Accuracy: 83.0%  
Train Epoch: 291, Loss: 0.516115, Test Average loss: 0.7030, Accuracy: 83.2%  
Train Epoch: 292, Loss: 0.499304, Test Average loss: 0.6130, Accuracy: 81.85%  
