Train Epoch: 267, Loss: 0.336850, Test Average loss: 0.2071, Accuracy: 92.7%  
Train Epoch: 268, Loss: 0.409492, Test Average loss: 0.2397, Accuracy: 92.35%  
Train Epoch: 269, Loss: 0.387958, Test Average loss: 0.2082, Accuracy: 93.1%  
Train Epoch: 270, Loss: 0.333391, Test Average loss: 0.1959, Accuracy: 93.15%  
Train Epoch: 271, Loss: 0.388378, Test Average loss: 0.2545, Accuracy: 92.85%  
Train Epoch: 272, Loss: 0.405909, Test Average loss: 0.2144, Accuracy: 93.45%  
Train Epoch: 273, Loss: 0.410942, Test Average loss: 0.2821, Accuracy: 93.45%  
Train Epoch: 274, Loss: 0.367129, Test Average loss: 0.1817, Accuracy: 93.25%  
Train Epoch: 275, Loss: 0.420537, Test Average loss: 0.2203, Accuracy: 93.1%  
Train Epoch: 276, Loss: 0.418259, Test Average loss: 0.2177, Accuracy: 93.15%  
Train Epoch: 277, Loss: 0.423856, Test Average loss: 0.1935, Accuracy: 93.1%  
Train Epoch: 278, Loss: 0.368674, Test Average loss: 0.2290, Accuracy: 92.8%  
Train Epoch: 279, Loss: 0.375318, Test Average loss: 0.2069, Accuracy: 93.7%  
Train Epoch: 280, Loss: 0.369454, Test Average loss: 0.2452, Accuracy: 93.3%  
Train Epoch: 281, Loss: 0.474828, Test Average loss: 0.2532, Accuracy: 92.2%  
Train Epoch: 282, Loss: 0.360307, Test Average loss: 0.2634, Accuracy: 92.6%  
Train Epoch: 283, Loss: 0.419739, Test Average loss: 0.2389, Accuracy: 92.8%  
Train Epoch: 284, Loss: 0.403865, Test Average loss: 0.2756, Accuracy: 92.45%  
Train Epoch: 285, Loss: 0.386768, Test Average loss: 0.2252, Accuracy: 92.6%  
Train Epoch: 286, Loss: 0.318877, Test Average loss: 0.1748, Accuracy: 92.9%  
Train Epoch: 287, Loss: 0.398252, Test Average loss: 0.2423, Accuracy: 93.15%  
Train Epoch: 288, Loss: 0.481395, Test Average loss: 0.2433, Accuracy: 92.55%  
Train Epoch: 289, Loss: 0.350525, Test Average loss: 0.2451, Accuracy: 91.7%  
Train Epoch: 290, Loss: 0.359331, Test Average loss: 0.2950, Accuracy: 93.45%  
Train Epoch: 291, Loss: 0.317031, Test Average loss: 0.3041, Accuracy: 92.1%  
Train Epoch: 292, Loss: 0.375769, Test Average loss: 0.2648, Accuracy: 92.1%  
Train Epoch: 293, Loss: 0.381205, Test Average loss: 0.2226, Accuracy: 93.2%  
Train Epoch: 294, Loss: 0.360118, Test Average loss: 0.2447, Accuracy: 93.75%  
Train Epoch: 295, Loss: 0.308645, Test Average loss: 0.2368, Accuracy: 93.55%  
Train Epoch: 296, Loss: 0.350483, Test Average loss: 0.1840, Accuracy: 93.8%  
Train Epoch: 297, Loss: 0.364889, Test Average loss: 0.1550, Accuracy: 93.6%  
Train Epoch: 298, Loss: 0.300501, Test Average loss: 0.2048, Accuracy: 94.15%  
Train Epoch: 299, Loss: 0.352758, Test Average loss: 0.2089, Accuracy: 93.55%  
Train Epoch: 300, Loss: 0.382951, Test Average loss: 0.2379, Accuracy: 92.55%  
Train Epoch: 301, Loss: 0.368036, Test Average loss: 0.2349, Accuracy: 92.8%  
Train Epoch: 302, Loss: 0.349355, Test Average loss: 0.2091, Accuracy: 93.2%  
Train Epoch: 303, Loss: 0.355475, Test Average loss: 0.2875, Accuracy: 93.1%  
